IDZipCode,Province/City,Wards,District,Country,Continents
607,Đà Nẵng,Phường Hoà Hiệp Bắc,Quận Liên Chiểu,Việt Nam,Châu Á
608,Đà Nẵng,Phường Hoà Hiệp Nam,Quận Liên Chiểu,Việt Nam,Châu Á
609,Đà Nẵng,Phường Hoà Khánh Bắc,Quận Liên Chiểu,Việt Nam,Châu Á
610,Đà Nẵng,Phường Hoà Khánh Nam,Quận Liên Chiểu,Việt Nam,Châu Á
611,Đà Nẵng,Phường Hoà Minh,Quận Liên Chiểu,Việt Nam,Châu Á
612,Đà Nẵng,Phường Bình Hiên,Quận Hải Châu,Việt Nam,Châu Á
613,Đà Nẵng,Phường Bình Thuận,Quận Hải Châu,Việt Nam,Châu Á
614,Đà Nẵng,Phường Hải Châu I,Quận Hải Châu,Việt Nam,Châu Á
615,Đà Nẵng,Phường Hải Châu II,Quận Hải Châu,Việt Nam,Châu Á
616,Đà Nẵng,Phường Hoà Cường Bắc,Quận Hải Châu,Việt Nam,Châu Á
617,Đà Nẵng,Phường Hoà Cường Nam,Quận Hải Châu,Việt Nam,Châu Á
618,Đà Nẵng,Phường Hoà Thuận Đông,Quận Hải Châu,Việt Nam,Châu Á
619,Đà Nẵng,Phường Hoà Thuận Tây,Quận Hải Châu,Việt Nam,Châu Á
620,Đà Nẵng,Phường Nam Dương,Quận Hải Châu,Việt Nam,Châu Á
621,Đà Nẵng,Phường Phước Ninh,Quận Hải Châu,Việt Nam,Châu Á
622,Đà Nẵng,Phường Thạch Thang,Quận Hải Châu,Việt Nam,Châu Á
623,Đà Nẵng,Phường Thanh Bình,Quận Hải Châu,Việt Nam,Châu Á
624,Đà Nẵng,Phường Thuận Phước,Quận Hải Châu,Việt Nam,Châu Á
625,Khánh Hòa,Phường Cam Lợi,TP. Cam Ranh,Việt Nam,Châu Á
626,Khánh Hòa,Phường Cam Thuận,TP. Cam Ranh,Việt Nam,Châu Á
627,Khánh Hòa,Xã Cam Bình,TP. Cam Ranh,Việt Nam,Châu Á
628,Khánh Hòa,Xã Cam Thịnh Đông,TP. Cam Ranh,Việt Nam,Châu Á
629,Khánh Hòa,Phường Ba Ngòi,TP. Cam Ranh,Việt Nam,Châu Á
630,Kiên Giang,Thị trấn Minh Lương,Huyện Châu Thành,Việt Nam,Châu Á
631,Kiên Giang,Xã Minh Hòa,Huyện Châu Thành,Việt Nam,Châu Á
632,Kiên Giang,Xã Thạnh Lộc,Huyện Châu Thành,Việt Nam,Châu Á
633,Kiên Giang,Xã Vĩnh Hoà Phú,Huyện Châu Thành,Việt Nam,Châu Á
634,Kiên Giang,Xã Mong Thọ A,Huyện Châu Thành,Việt Nam,Châu Á
635,An Giang,Phường Bình Đức,TP. Long Xuyên,Việt Nam,Châu Á
636,An Giang,Phường Bình Khánh,TP. Long Xuyên,Việt Nam,Châu Á
637,An Giang,Phường Đông Xuyên,TP. Long Xuyên,Việt Nam,Châu Á
638,An Giang,Phường Mỹ Hòa,TP. Long Xuyên,Việt Nam,Châu Á
639,An Giang,Xã Mỹ Khánh,TP. Long Xuyên,Việt Nam,Châu Á
640,Bình Phước,Thị trấn An Lộc,Thị xã Bình Long,Việt Nam,Châu Á
641,Bình Phước,Xã An Khương,Thị xã Bình Long,Việt Nam,Châu Á
642,Bình Phước,Xã An Phú,Thị xã Bình Long,Việt Nam,Châu Á
643,Bình Phước,Xã Thanh Bình,Thị xã Bình Long,Việt Nam,Châu Á
644,Bình Phước,Xã Thanh Phú,Thị xã Bình Long,Việt Nam,Châu Á
645,Cần Thơ,Phường An Cư,Quận Ninh Kiều,Việt Nam,Châu Á
646,Cần Thơ,Phường An Hội,Quận Ninh Kiều,Việt Nam,Châu Á
647,Cần Thơ,Phường An Khánh,Quận Ninh Kiều,Việt Nam,Châu Á
648,Cần Thơ,Phường An Lạc,Quận Ninh Kiều,Việt Nam,Châu Á
649,Cần Thơ,Phường Xuân Khánh,Quận Ninh Kiều,Việt Nam,Châu Á
650,Đồng Tháp,Phường Mỹ Phú,TP. Cao Lãnh,Việt Nam,Châu Á
651,Đồng Tháp,Xã Hòa An,TP. Cao Lãnh,Việt Nam,Châu Á
652,Đồng Tháp,Xã Mỹ Ngãi,TP. Cao Lãnh,Việt Nam,Châu Á
653,Đồng Tháp,Xã Mỹ Tân,TP. Cao Lãnh,Việt Nam,Châu Á
654,Đồng Tháp,Xã Tân Thuận Đông,TP. Cao Lãnh,Việt Nam,Châu Á
655,Thanh Hóa,Phường Bắc Sơn,TP. Sầm Sơn,Việt Nam,Châu Á
656,Thanh Hóa,Phường Trung Sơn,TP. Sầm Sơn,Việt Nam,Châu Á
657,Thanh Hóa,Quảng Châu,TP. Sầm Sơn,Việt Nam,Châu Á
658,Thanh Hóa,Xã Quảng Minh,TP. Sầm Sơn,Việt Nam,Châu Á
659,Thanh Hóa,Xã Quảng Vinh,TP. Sầm Sơn,Việt Nam,Châu Á
660,Thái Bình,Phường Bồ Xuyên,TP. Thái Bình,Việt Nam,Châu Á
661,Thái Bình,Phường Đề Thám,TP. Thái Bình,Việt Nam,Châu Á
662,Thái Bình,Phường Hoàng Diệu,TP. Thái Bình,Việt Nam,Châu Á
663,Thái Bình,Xã Đông Hòa,TP. Thái Bình,Việt Nam,Châu Á
664,Thái Bình,Xã Vũ Lạc,TP. Thái Bình,Việt Nam,Châu Á
665,Kon Tum,Phường Duy Tân,TP. Kon Tum,Việt Nam,Châu Á
666,Kon Tum,Phường Lê Lợi,TP. Kon Tum,Việt Nam,Châu Á
667,Kon Tum,Phường Ngô Mây,TP. Kon Tum,Việt Nam,Châu Á
668,Kon Tum,Phường Quyết Thắng,TP. Kon Tum,Việt Nam,Châu Á
669,Kon Tum,Phường Trường Chinh,TP. Kon Tum,Việt Nam,Châu Á
670,Lai Châu,Đông Phong,TP. Lai Châu,Việt Nam,Châu Á
671,Lai Châu,Phường Đoàn Kết,TP. Lai Châu,Việt Nam,Châu Á
672,Lai Châu,Phường Tân Phong,TP. Lai Châu,Việt Nam,Châu Á
673,Lai Châu,Xã Nậm Loong,TP. Lai Châu,Việt Nam,Châu Á
674,Lai Châu,Xã San Thàng,TP. Lai Châu,Việt Nam,Châu Á
675,Lâm Đồng,Phường Lộc Phát,TP. Bảo Lộc,Việt Nam,Châu Á
676,Lâm Đồng,Phường Lộc Sơn,TP. Bảo Lộc,Việt Nam,Châu Á
677,Lâm Đồng,Phường Lộc Tiến,TP. Bảo Lộc,Việt Nam,Châu Á
678,Lâm Đồng,Xã Đại Lào,TP. Bảo Lộc,Việt Nam,Châu Á
679,Lâm Đồng,Xã Lộc Thanh,TP. Bảo Lộc,Việt Nam,Châu Á
680,Bắc Giang,Phường Hoàng Văn Thụ,TP. Bắc Giang,Việt Nam,Châu Á
681,Bắc Giang,Phường Lê Lợi,TP. Bắc Giang,Việt Nam,Châu Á
682,Bắc Giang,Phường Mỹ Độ,TP. Bắc Giang,Việt Nam,Châu Á
683,Bắc Giang,Phường Thọ Xương,TP. Bắc Giang,Việt Nam,Châu Á
684,Bắc Giang,Xã Đồng Sơn,TP. Bắc Giang,Việt Nam,Châu Á
685,Lạng Sơn,Thị trấn Bắc Sơn,Huyện Bắc Sơn,Việt Nam,Châu Á
686,Lạng Sơn,Xã Chiến Thắng,Huyện Bắc Sơn,Việt Nam,Châu Á
687,Lạng Sơn,Xã Chiêu Vũ,Huyện Bắc Sơn,Việt Nam,Châu Á
688,Lạng Sơn,Xã Quỳnh Sơn,Huyện Bắc Sơn,Việt Nam,Châu Á
689,Lạng Sơn,Xã Tân Lập,Huyện Bắc Sơn,Việt Nam,Châu Á
690,Bắc Kạn,Phường Đức Xuân,TP. Bắc Kạn,Việt Nam,Châu Á
691,Bắc Kạn,Phường Phùng Chí Kiên,TP. Bắc Kạn,Việt Nam,Châu Á
692,Bắc Kạn,Xã Dương Quang,TP. Bắc Kạn,Việt Nam,Châu Á
693,Bắc Kạn,Xã Nông Thượng,TP. Bắc Kạn,Việt Nam,Châu Á
694,Bắc Kạn,Xã Xuất Hoá,TP. Bắc Kạn,Việt Nam,Châu Á
695,Lào Cai,Phường Bắc Cường,TP. Lào Cai,Việt Nam,Châu Á
696,Lào Cai,Phường Bắc Lệnh,TP. Lào Cai,Việt Nam,Châu Á
697,Lào Cai,Phường Bình Minh,TP. Lào Cai,Việt Nam,Châu Á
698,Lào Cai,Xã Cam Đường,TP. Lào Cai,Việt Nam,Châu Á
699,Lào Cai,Xã Hợp Thành,TP. Lào Cai,Việt Nam,Châu Á
700,Bạc Liêu,Xã Hiệp Thành,TP. Bạc Liêu,Việt Nam,Châu Á
701,Bạc Liêu,Xã Vĩnh Trạch,TP. Bạc Liêu,Việt Nam,Châu Á
702,Bạc Liêu,Xã Vĩnh Trạch Đông,TP. Bạc Liêu,Việt Nam,Châu Á
703,Long An,Phường Khánh Hậu,TP. Tân An,Việt Nam,Châu Á
704,Long An,Phường Tân Khánh,TP. Tân An,Việt Nam,Châu Á
705,Long An,Xã An Vĩnh Ngãi,TP. Tân An,Việt Nam,Châu Á
706,Long An,Xã Bình Tâm,TP. Tân An,Việt Nam,Châu Á
707,Long An,Xã Nhơn Thạnh Trung,TP. Tân An,Việt Nam,Châu Á
708,Bắc Ninh,Phường Đại Phúc,TP. Bắc Ninh,Việt Nam,Châu Á
709,Bắc Ninh,Phường Suối Hoa,TP. Bắc Ninh,Việt Nam,Châu Á
710,Bắc Ninh,Phường Tiền An,TP. Bắc Ninh,Việt Nam,Châu Á
711,Bắc Ninh,Xã Hòa Long,TP. Bắc Ninh,Việt Nam,Châu Á
712,Bắc Ninh,Xã Nam Sơn,TP. Bắc Ninh,Việt Nam,Châu Á
713,Nam Định,Phường Bà Triệu,TP. Nam Định,Việt Nam,Châu Á
714,Bến Tre,Phường Phú Khương,TP. Bến Tre,Việt Nam,Châu Á
715,Nghệ An,Thị trấn Anh Sơn,Huyện Anh Sơn,Việt Nam,Châu Á
716,Bình Định,Phường Bùi Thị Xuân,TP. Quy Nhơn,Việt Nam,Châu Á
717,Ninh Bình,Phường Đông Thành,TP. Ninh Bình,Việt Nam,Châu Á
718,Ninh Thuận,Phường Bảo An,TP. Phan Rang-Tháp Chàm,Việt Nam,Châu Á
719,Phú Thọ,Xã Tam Sơn,Huyện Cẩm Khê,Việt Nam,Châu Á
720,Bình Thuận,Phường Bình Hưng,TP. Phan Thiết,Việt Nam,Châu Á
721,Phú Yên,Xã Xuân Lãnh,Huyện Đồng Xuân,Việt Nam,Châu Á
722,Cà Mau,Tân Xuyên,TP. Cà Mau,Việt Nam,Châu Á
723,Quảng Bình,Phường Bắc Lý,TP. Đồng Hới,Việt Nam,Châu Á
724,Quảng Nam,Phường An Mỹ,TP. Tam Kỳ,Việt Nam,Châu Á
725,Cao Bằng,Xã Đức Hạnh,Huyện Bảo Lâm,Việt Nam,Châu Á
726,Quảng Ngãi,Phường Nghĩa Chánh,TP. Quảng Ngãi,Việt Nam,Châu Á
727,Đắk Lắk,Phường Khánh Xuân,TP. Buôn Ma Thuột,Việt Nam,Châu Á
728,Quảng Ninh,Phường Bạch Đằng,TP. Hạ Long,Việt Nam,Châu Á
729,Đắk Nông,Thị trấn Đắk Mil,Huyện Đăk Mil,Việt Nam,Châu Á
730,Quảng Trị,Thị trấn Cam Lộ,Huyện Cam Lộ,Việt Nam,Châu Á
731,Điện Biên,Phường Mường Thanh,TP. Điện Biên Phủ,Việt Nam,Châu Á
732,Sóc Trăng,Thị trấn Châu Thành,Huyện Châu Thành,Việt Nam,Châu Á
733,Sơn La,Phường Chiềng An,TP. Sơn La,Việt Nam,Châu Á
734,Tây Ninh,Phường Hiệp Ninh,TP. Tây Ninh,Việt Nam,Châu Á
735,Gia Lai,Phường Tây Sơn,Thị xã An Khê,Việt Nam,Châu Á
736,Hà Giang,Phường Minh Khai,TP. Hà Giang,Việt Nam,Châu Á
737,Thái Nguyên,Thị trấn Đại Từ,Huyện Đại Từ,Việt Nam,Châu Á
738,Hà Nam,Thị trấn Bình Mỹ,Huyện Bình Lục,Việt Nam,Châu Á
739,Hà Tĩnh,Phường Bắc Hà,TP. Hà Tĩnh,Việt Nam,Châu Á
740,Thừa Thiên Huế,Phường An Đông,TP. Huế,Việt Nam,Châu Á
741,Hải Dương,Phường Phạm Ngũ Lão,TP. Hải Dương,Việt Nam,Châu Á
742,Tiền Giang,Thị trấn Cái Bè,Huyện Cái Bè,Việt Nam,Châu Á
743,Hải Phòng,Thị trấn An Dương,Huyện An Dương,Việt Nam,Châu Á
744,Trà Vinh,Xã Long Đức,TP. Trà Vinh,Việt Nam,Châu Á
745,Hậu Giang,Xã Đông Thạnh,Huyện Châu Thành,Việt Nam,Châu Á
746,Tuyên Quang,Phường Đội Cấn,TP. Tuyên Quang,Việt Nam,Châu Á
747,Hòa Bình,Phường Đồng Tiến,TP. Hòa Bình,Việt Nam,Châu Á
748,Vĩnh Long,Xã Tân Hòa,TP. Vĩnh Long,Việt Nam,Châu Á
749,Hưng Yên,Phường An Tảo,TP. Hưng Yên,Việt Nam,Châu Á
750,Vĩnh Phúc,Phường Tích Sơn,TP. Vĩnh Yên,Việt Nam,Châu Á
751,Yên Bái,Thị trấn Yên Thế,Huyện Lục Yên,Việt Nam,Châu Á
752,Yên Bái,Xã Mường Lai,Huyện Lục Yên,Việt Nam,Châu Á
753,Yên Bái,Xã An Lạc,Huyện Lục Yên,Việt Nam,Châu Á
754,Yên Bái,Phường Đồng Tâm,TP. Yên Bái,Việt Nam,Châu Á
755,Yên Bái,Phường Minh Tân,TP. Yên Bái,Việt Nam,Châu Á
756,Yên Bái,Phường Nguyễn Thái Học,TP. Yên Bái,Việt Nam,Châu Á
757,Yên Bái,Xã Phúc Lộc,TP. Yên Bái,Việt Nam,Châu Á
758,Algiers,Guaviare,Encamp,Algeria,Africa
759,Boumerdas,Hamburg,Sar-e Pul,Algeria,Africa
760,Oran,Kraj Vysocina,Tiran,Algeria,Africa
761,Tébessa,Pinar del R o,Daykundi,Algeria,Africa
762,Luanda,San Jos_,Baghlan,Angola,Africa
763,N’dalatando,Heredia,Barbuda,Angola,Africa
764,Huambo,Lefkosia,Ararat,Angola,Africa
765,Lobito,Brandenburg,Vlor,Angola,Africa
766,Cotonou,Olomouck_ kraj,Kandahar,Benin,Africa
767,Abomey-Calavi,Th ringen,Dubayy [Dubai],Benin,Africa
768,Djougou,Caldas,Andorra la Vella,Benin,Africa
769,Porto-Novo,Nordrhein-Westfalen,Canillo,Benin,Africa
770,Gaborone,Guain a,Jowzjan,Botswana,Africa
771,Francistown,Ribeira Grande de Santiago,Takhar,Botswana,Africa
772,Molepolole,Berlin,Bi_,Botswana,Africa
773,Selebi-Phikwe,Mayabeque,Namibe,Botswana,Africa
774,Ouagadougou,Guant namo,Farah,Burkina Faso,Africa
775,Bobo-Dioulasso,Djibouti,Redonda,Burkina Faso,Africa
776,Koudougou,Pafos,Benguela,Burkina Faso,Africa
777,Ouahigouya,Isla de la Juventud,Kuna,Burkina Faso,Africa
778,Bujumbura,Niedersachsen,Umm al Qaywayn,Burundi,Africa
779,Muyinga,Santa Catarina do Fogo,Badghis,Burundi,Africa
780,Ruyigi,Artemisa,Escaldes-Engordany,Burundi,Africa
781,Gitega,Santa Cruz,Parwan,Burundi,Africa
782,Douala,Schleswig-Holstein,Herat,Cameroon,Africa
783,Yaoundé,Mosteiros,Ghazni,Cameroon,Africa
784,Garoua,Paul,Loi,Cameroon,Africa
785,Kousséri,Bayern,'Ajman,Cameroon,Africa
786,Praia,Rheinland-Pfalz,Lezh,Cape Verde,Africa
787,Mindelo,Duarte,Ra s al Khaymah,Cape Verde,Africa
788,Santa Maria,Azua,Kuk s,Cape Verde,Africa
789,Cova Figueira,Saint John,Saint Philip,Cape Verde,Africa
790,,Saint Joseph,Saint Paul,Central African Republic,Africa
791,Bangui,Puerto Plata,Ghor,Chad,Africa
792,Bimbo,Sj_lland,Ordino,Chad,Africa
793,Mbaïki,Hovedstaden,San Luis,Chad,Africa
794,Berbérati,Tadjourah,Balkh,Chad,Africa
795,Moroni,Cibao Nordeste,Faryab,Comoros,Africa
796,Moutsamoudou,Obock,Saint John,Comoros,Africa
797,Fomboni,Syddanmark,Gjirokast r,Comoros,Africa
798,Domoni,Ali Sabieh,Saint Peter,Comoros,Africa
799,Kinshasa,Saint Paul,Khost,Democratic Republic of the Congo,Africa
800,Lubumbashi,Peravia,Sant Juli  de L ria,Democratic Republic of the Congo,Africa
801,Mbuji-Mayi,Santiago,Ash Shariqah [Sharjah],Democratic Republic of the Congo,Africa
802,Kisangani,Independencia,La Massana,Democratic Republic of the Congo,Africa
803,Djibouti,Saint Peter,Kapisa,Djibouti,Africa
804,Ali Sabieh,Monte Cristi,_irak,Djibouti,Africa
805,Tadjoura,Espaillat,Bamyan,Djibouti,Africa
806,Obock,Sachsen,Al Fujayrah,Djibouti,Africa
807,Cairo,Saint Luke,Paktika,Egypt,Africa
808,Alexandria,Saint George,Kabul,Egypt,Africa
809,Giza,Nordjylland,Zabul,Egypt,Africa
810,Port Said,Saint Mark,Badakhshan,Egypt,Africa
811,,Saman,Kwanza Norte,Equatorial Guinea,Africa
812,Bata,San Crist bal,Laghman,Eritrea,Africa
813,Malabo,Barahona,Huambo,Eritrea,Africa
814,Ebebiyin,Saint Andrew,Helmand,Eritrea,Africa
815,Aconibe,Saint David,Dib r,Eritrea,Africa
816,Addis Ababa,El as Pi a,Nuristan,Ethiopia,Africa
817,Dire Dawa,Midtjylland,Gegark'unik',Ethiopia,Africa
818,Bahir Dar,San Pedro de Macor s,Moxico,Ethiopia,Africa
819,Gondar,Saint Patrick,Panjshayr,Ethiopia,Africa
820,Libreville,Dajab n,Uruzgan,Gabon,Africa
821,Port-Gentil,Distrito Nacional (Santo Domingo),Elbasan,Gabon,Africa
822,Franceville,Pedernales,Abu Z aby [Abu Dhabi],Gabon,Africa
823,Oyem,Hermanas Mirabal,Saint Mary,Gabon,Africa
824,Serekunda,Baoruco,Samangan,Gambia,Africa
825,Brikama,El Seibo,Fier,Gambia,Africa
826,Bakau,La Altagracia,Aragacotn,Gambia,Africa
827,Banjul,La Vega,U ge,Gambia,Africa
828,Accra,Monse or Nouel,Nimroz,Ghana,Africa
829,Kumasi,La Romana,Kunduz,Ghana,Africa
830,Tamale,Mar a Trinidad S nchez,Saint George,Ghana,Africa
831,Takoradi,Hato Mayor,Nangarhar,Ghana,Africa
832,North-West,Santo Domingo,Kor,Guinea,Africa
833,Arkhabil Suqutr,Monte Plata,Tucum n,Guinea-Bissau,Africa
834,Luapula,Oum el Bouaghi,Erevan,Ivory Coast,Africa
835,Hu Giang,S nchez Ram rez,Logar,Kenya,Africa
836,Al Mawit,Alger,Berat,Lesotho,Africa
837,Gagaifomauga,Cibao Sur,Luanda,Liberia,Africa
838,Limpopo,Loja,Shkod r,Libya,Africa
839,Abyan,San Jos_ de Ocoa,La Pampa,Madagascar,Africa
840,Western Cape,Boumerd s,Lunda Norte,Malawi,Africa
841,Midlands,B_ja a,Ciudad Aut noma de Buenos Aires,Mali,Africa
842,Northern,Tiaret,Lunda Sul,Mauritania,Africa
843,Mashonaland Central,Cibao Noroeste,Paktiya,Mauritius,Africa
844,Eastern,Naama,Wardak,Mayotte,Africa
845,Lusaka,Khenchela,Tavu_,Morocco,Africa
846,Al Mahrah,Santiago Rodr guez,Chubut,Mozambique,Africa
847,Matabeleland North,Biskra,Jujuy,Namibia,Africa
848,Masvingo,Ozama,Bengo,Niger,Africa
849,Copperbelt,Santa Elena,La Rioja,Nigeria,Africa
850,Muchinga,San Juan,Vayoc Jor,Republic of the Congo,Africa
851,Bulawayo,El Bayadh,Syunik',Rwanda,Africa
852,Ma rib,Valverde,Kuando Kubango,Réunion,Africa
853,Torba,Tlemcen,Kwanza Sul,Saint Helena,Africa
854,Al Jawf,Tartumaa,Santa Fe,Senegal,Africa
855,Gauteng,Batna,Santiago del Estero,Seychelles,Africa
856,aramawt,El Valle,Cunene,Sierra Leone,Africa
857,Ravenna,Yuma,Entre R os,Somalia,Africa
858,Treviso,Relizane,Malange,South Africa,Africa
859,Reggio Calabria,Annaba,R o Negro,South Sudan,Africa
860,Saint Mary,Tindouf,Armavir,Sudan,Africa
861,Pesaro e Urbino,Tipaza,Hu la,Swaziland,Africa
862,Tottori,Santo Domingo de los Ts chilas,Buenos Aires,São Tomé and Príncipe,Africa
863,Roma,AI Wadi al Jadid,San Juan,Tanzania,Africa
864,Prato,Tizi Ouzou,Zaire,Togo,Africa
865,Hanover,Enriquillo,Misiones,Tunisia,Africa
866,Pistoia,Tamanrasset,Cabinda,Uganda,Africa
867,Rovigo,A n Defla,Chaco,Western Sahara,Africa
868,Saint James,Napo,Durr s,Zambia,Africa
869,Reggio Emilia,Mostaganem,Formosa,Zimbabwe,Africa
870,McMurdo Station,AI Fayyum,Salta,Antarctica,Antarctica
871,Sondrio,Djelfa,Catamarca,Bouvet Island,Antarctica
872,Port-aux-Français,Mila,Kotayk',French Southern Territories,Antarctica
873,Irbid,Chlef,Mendoza,Heard Island and McDonald Islands,Antarctica
874,Grytviken,Adrar,New South Wales,South Georgia and the South Sandwich Islands,Antarctica
875,Kabul,L__ne-Virumaa,C rdoba,Afghanistan,Asia
876,Kunduz,S_tif,Santa Cruz,Afghanistan,Asia
877,Ghazni,Orellana,Australian Capital Territory,Afghanistan,Asia
878,Balkh,B_char,Tierra del Fuego,Afghanistan,Asia
879,Yerevan,Cibao Norte,Wien,Armenia,Asia
880,Gyumri,Al Bar al Amar,Burgenland,Armenia,Asia
881,Vanadzor,Jijel,Victoria,Armenia,Asia
882,Ejmiatsin,Imbabura,Astara,Armenia,Asia
883,Baku,Sucumb os,Northern Territory,Azerbaijan,Asia
884,Ganja,El Tarf,Brd,Azerbaijan,Asia
885,Sumqayıt,J gevamaa,Dasksn,Azerbaijan,Asia
886,Lankaran,Bordj Bou Arr_ridj,Klbcr,Azerbaijan,Asia
887,Manama,Valdesia,Neuqu_n,Bahrain,Asia
888,Al Muharraq,Azuay,Agstafa,Bahrain,Asia
889,Sitrah,Tungurahua,Baki,Bahrain,Asia
890,Al Ḩadd,Ouargla,Salzburg,Bahrain,Asia
891,Dhaka,Sidi Bel Abb s,Gnc,Bangladesh,Asia
892,Chittagong,P_rnumaa,Agdam,Bangladesh,Asia
893,Khulna,Bouira,South Australia,Bangladesh,Asia
894,Comilla,Chimborazo,Nieder_sterreich,Bangladesh,Asia
895,Thimphu,Al Buayrah,Steiermark,Bhutan,Asia
896,Tsirang,Hiiumaa,Vorarlberg,Bhutan,Asia
897,Phuntsholing,Al Uqsur,Ober_sterreich,Bhutan,Asia
898,Pemagatshel,Raplamaa,Qobustan,Bhutan,Asia
899,Verona,Tissemsilt,Quba,British Indian Ocean Territory,Asia
900,Bandar Seri Begawan,T_bessa,Goranboy,Brunei,Asia
901,Kuala Belait,El Oro,Corrientes,Brunei,Asia
902,Seria,Gharda a,Kngrli,Brunei,Asia
903,Tutong,Oran,Oguz,Brunei,Asia
904,Phnom Penh,Higuamo,K_rnten,Cambodia,Asia
905,Takeo,Los R os,Samaxi,Cambodia,Asia
906,Sihanoukville,Esmeraldas,G_yg_l,Cambodia,Asia
907,Battambang,Shamal Sina',Tasmania,Cambodia,Asia
908,Shanghai,Skikda,F zuli,China,Asia
909,Beijing,Aswan,Haciqabul,China,Asia
910,Tianjin,Ad Daqahliyah,Western Australia,China,Asia
911,Guangzhou,Carchi,Queensland,China,Asia
912,Flying Fish Cove,M'sila,Agsu,Christmas Island,Asia
913,West Island,Guelma,Tirol,Cocos [Keeling] Islands,Asia
914,Tbilisi,A n T_mouchent,Agcabdi,Georgia,Asia
915,Kutaisi,P lvamaa,Beylqan,Georgia,Asia
916,Batumi,Bani Suwayf,G_y ay,Georgia,Asia
917,Sokhumi,L__nemaa,Babk,Georgia,Asia
918,Hong Kong,Valgamaa,Qbl,Hong Kong,Asia
919,Kowloon,Laghouat,Bilsuvar,Hong Kong,Asia
920,Tsuen Wan,Manab,Clilabad,Hong Kong,Asia
921,Yuen Long Kau Hui,Constantine,Nax ivan,Hong Kong,Asia
922,Mumbai,V rumaa,Masalli,India,Asia
923,Delhi,Ca ar,Agdas,India,Asia
924,Bengaluru,Blida,Lnkran,India,Asia
925,Kolkata,Guayas,Sirvan,India,Asia
926,Jakarta,Harjumaa,Ski,Indonesia,Asia
927,Surabaya,Sa da,Lerik,Indonesia,Asia
928,Medan,Mascara,Ming evir,Indonesia,Asia
929,Bandung,Pichincha,Qazax,Indonesia,Asia
930,Tehran,Ida-Virumaa,Cbrayil,Iran,Asia
